period_ordered,book_id,nikh_period,level,sentence
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,둘째 조각 2차 세계대전의 시말은 어떠하였으며 우리나라는 어떻게 해방되었는가?
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,5.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"자격루는 노비 출신의 과학 기술자인 장영실이 제작한 것으로, 정밀 기계 장치와 자동 시보 장치를 갖춘 뛰어난 물시계였다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"이에 전봉준은 “탐관오리를 제거하여 백성을 구한다.”는 구호를 내걸고, 농민들을 이끌고 관아를 공격하였다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"새로운 정치의 주요 사항

   군대 해산
   유신(維新)의 조칙(詔勅)
   황제의 순행(巡幸)

새 황제는 일본을 깊이 신뢰하여, 통감의 지휘 하에 크게 옛 폐습을 타파하고, 내정(內政)의 개선을 실행하려고 하여, 군대의 해산을 명하고,
유신(維新)의 조칙(詔勅)을 발포(發布)하였으며, 이어서 국내를 순행(巡幸)하는 등 단행한 바가 적지 않았다."
4. Post-war Authoritarian,ta_e21,2nd National Curriculum (1963–1973),Elementary,"제3공화국의 국회 개원식  

이제, 우리 모든 국민은 힘을 합하여 대한 민국의 민주주의를 더욱 발전시키고 경제를 재건하여, 자주 독립 국가 건설에 이바지할 수 있도록
노력하여야 하겠다."
5. Yushin,ta_e31,3rd National Curriculum (1973–1981),Elementary,"최치원의 글씨  

그는 신라에 돌아와 해인사에서 글 공부를 하며 여생을 마쳤는데, 그의 글은 지금도 남아 있다."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,군대해산.
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"두 차례의 전란은 조선 사회를 한층 더 빈곤하게 만들었으니, 국가 재정의 기본인 토지 경작 면적만도 임진 전에 비하여 30%의 양으로
줄었고, 병자란(丙子亂, 1636)후에 복구된 양도 임진 전의 50%에 지나지 못했다."
1. Late Chosŏn / Korean Empire,ta_p13r,Enlightenment & Daehan Empire (1895–1910),Public schools,○ 장용영(壯勇營)을 설치하였다.
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"구석기인들은 처음에는 돌을 깨어 이를 연모로 사용하다가, 차츰 쓰임새에 따라 여러 가지 편리한 연모들을 만들어 사용하였다."
1. Late Chosŏn / Korean Empire,ta_p22r,Enlightenment & Daehan Empire (1895–1910),Public schools,"사신을 파견하여 표(表)를 받들고
명나라에 갔다."
6. Chun / Roh Transitional,ta_e41,4th National Curriculum (1981–1987),Elementary,"여러 가지 옛날의 악기

 [8] 무용과 연극

사람들은 기쁜 일이 있을 때에는 저절로 노래가 나오고 춤을 덩실덩실 추게 된다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"이와 같이 홍건적과 왜구의 침입을 격퇴하는 과정에서 최영, 이성계 등의 무인 세력이 성장하게 되었다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"그리고, 임진왜란 때 왜인들이 조선의 문화재를 많이 가져갔으므로, 몽유도원도를 비롯한
선초의 걸작들이 일본에 다수 보관되어 있다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,그러나 분단과 전쟁으로 인한 경제적 어려움도 대단히 컸다.
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"보부상  

화폐와 금융

상업 활동이 활발해짐에 따라, 물물 교환이나 쌀과 포목 등 물품 화폐를 교환 매개로 사용하는 불편한 교역 방법이 바뀌지 않을 수 없었다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"정부는 천주교가 유포되는 것에 대하여, 내버려 두면 저절로 사라질 것으로 생각하였다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,그러나 고조선은 연의 침략으로 한때 쇠약해졌다.
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"함경도 덕원 주민들은 개화파 인물들의 권유에 의하여 원산 학사(元山學舍)를
세워 근대 학문과 무술을 가르쳤다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"조선 사람, 조선 것."
1. Late Chosŏn / Korean Empire,ta_p11r,Enlightenment & Daehan Empire (1895–1910),Public schools,"〔신라 진평왕 20년 / 고구려 영양왕 9년 / 백제 혜왕(惠王) 1년〕

   기원전 794년

 기원전 794년

무오(戊午)

백제 왕이 훙(薨)하고 아들 계명(季明)이 즉위하니 곧 혜왕(惠王)이다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"이 전투에서 적은 전사자
614명, 부상자 1144명, 포로 613명을 낳았고, 따로 속사야포(速射野砲) 21문, 소총 1천여 정 등을 잃었다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"16세기 후반, 휴정(서산대사)과 같은 고승이 배출되어 교리를
가다듬었고, 임진왜란 때 승병이 크게 활약함으로써 불교계의 위상을 새롭게 정립하였다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"민영 수공업자들은 대체로 양반의 사치품을 비롯하여
농민들의 농기구를 주로 생산하였다."
1. Late Chosŏn / Korean Empire,ta_p102r,Enlightenment & Daehan Empire (1895–1910),,이로부터 동인과 서인이 붕당을 나누어 이후 300년 동안의 큰 재앙을 빚어 내게 되었다.
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"예종 때에는 국자감을 재정비하여 전문 강좌를 설치하고, 장학
재단을 두어 관학의 경제 기반을 강화하였다."
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,우리 민족은 농목 시대로 들어온 뒤 부족 국가를 무수히 조직하였다.
6. Chun / Roh Transitional,ta_e52,5th National Curriculum (1987–1992),Elementary,"고려 초기의 영토와 행정 구역  

고려 초기에 나라의 기틀을 잡는 데 큰 공을 세운 이는 최승로다."
3. U.S. Military Government,ta_p61r,US Military Govt & Syllabus Period (1945–1954),,③ 일본 침략의 첫 손은 어떻게 들어왔는가?
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"이적이 고구려 왕 장(臧)과 그의 두 아들 복남(福男)과 덕남(德男), 대신 남건(男建) 등 20여만
명을 포로로 삼아서 돌아가니 고구려가 망하였다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"그러자 일제는 식량과 공업 원료를 한국에서 값싸게
공급받고, 일본 기업의 한국 침투를 돕기 위한 조치를 잇따라 시행하였다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"이어서 가야 연맹의 맹주였던 대가야를 정복하여 낙동강 유역을 장악하였고, 또 동해안을 따라 원산만 일대에까지 진출하여 동예의 옛 땅을
차지하였다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"한편, 백제의 건국 전설은 졸본 부여의 한 갈래인 비류 세력과 온조 세력이 고구려에서 남하하여 자연 조건이 좋은 한강 하류 유역에 정착하고
각기 새로운 나라를 세웠으나, 후에 위례성의 온조 세력이 미추홀의 비류 세력을 아우르면서 마침내 백제로 발전하는 과정을 나타내고 있다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"경신(庚申) [420년]

【신라 눌지왕 3년 ○ 고구려 장수왕 7년 ○ 백제 전지왕 15년 ○ 송(宋) 무제(武帝) 영초(永初) 원년."
1. Late Chosŏn / Korean Empire,ta_p21r,Enlightenment & Daehan Empire (1895–1910),Public schools,"기원전 995년 정유

【신라 나물왕[내물왕] 41년 ○ 고구려 광개토왕 5년 ○ 백제 아신왕 5년】

백제 왕이 왜와 화친하였다."
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,"【선릉(宣陵)에 합장하였다.】

 기원후 146년 정유 [중종 32년]

김안로(金安老)를 사사(賜死)하였다."
7. Early Democratic,ta_h62,6th National Curriculum (1995–2001),High School,"우리 민족의 광복은 미국, 영국, 중국, 소련
등 연합군이 승리한 결과이기도 하지만, 우리 민족이 국내외에서 줄기차게 전개해 온 독립 투쟁의 결실이었다."
