period_ordered,book_id,nikh_period,level,sentence
1. Late Chosŏn / Korean Empire,ta_p23r,Enlightenment & Daehan Empire (1895–1910),Public schools,○ 갑진년 대상(大喪) 때의 흉악한 무리와 기사년 사건에서 살아남은 무리들이 함께 모의하여 군사를 일으켰다.
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"《주요 용어》

삼포, 의병, 행주 싸움, 한산 싸움, 진주 싸움, 비격진천뢰, 삼전도, 김상헌

 [3] 정국의 혼란과 민족의 각성

심해 가는 당파 싸움

두 차례의 왜적의 침입을 겪고도 귀족들은 여전히 당파 싸움에 몰리어 나라를 어지럽혔다."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"세조 2년 6월에,
명나라의 사신이 오자, 왕은 그를 위해 창덕궁에서 연회를 베풀기로 하였다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,그는 ‘사회 계약론’에서 인민 주권을 강력히 주장하여 민주주의 사상의 발전에 공헌하였다.
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"행정 분야와는 다르게 간쟁권을 가진 언관으로서 사간원, 사헌부, 홍문관의 3사가 있었다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"그리하여 전통적인 우리
나라의 과학 지식 위에, 고려 시대에 전해진 중국과 아라비아의 과학 지식을 흡수하여 새로운 발전을 가져오게 되었다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,태평양 전쟁이 일어난 후 일본은 우리 민족에 대하여 어떤 방법으로 정책을 바꾸었는가를 알아 보자.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"경제 생활

통일 후에는 노동력과 생산 자원이 보다 철저하게 편제되어 관리되었다."
8. Democratic Consolidation,ta_h71,7th National Curriculum (2002–),High School,"차관

외국의 기업이나 금융 기관, 정부로부터 빌린 자금."
1. Late Chosŏn / Korean Empire,ta_p81r,Enlightenment & Daehan Empire (1895–1910),,"지금에 와서는 우리에게 자신들의 찬란한 성과를 자랑하지만, 그것들 중 우리에게 가져가지 않은 것이 없다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"신라 이래로 백성들은 불교를 널리 믿어 왔는데, 태조는 특히 부처의 도움으로 후삼국을 통일하였다고 하여 정책적으로
불교를 널리 장려하였다."
1. Late Chosŏn / Korean Empire,ta_p72r,Enlightenment & Daehan Empire (1895–1910),Elementary,"6월에 국학의 대성전(大成殿)이 완성되니, 왕이 옛 성인에게 참배하고
밀직사(密直司) 이혼(李混)에게 명하여 입학송(入學頌)을 짓게 해 학생들에게 보였다."
1. Late Chosŏn / Korean Empire,ta_p11r,Enlightenment & Daehan Empire (1895–1910),Public schools,왕건이 신숭겸을 애도하고 장절(壯節)이라는 시호를 추증하였다.
4. Post-war Authoritarian,ta_e21,2nd National Curriculum (1963–1973),Elementary,"측우기  

조선 초기의 도서 편찬 사업으로는 경국대전을 비롯하여, 고려사, 동국통감, 동국여지승람 등의 책의 완성을 들 수 있다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"김제 벽골제, 밀양 수산제, 제천 의림지 등은 삼한 시대 이래의 저수지들이다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"선사 문화의 전개
   2\."
6. Chun / Roh Transitional,ta_e52,5th National Curriculum (1987–1992),Elementary,문호가 개방되어 생활의 모습은 바뀌어 갔지만 나라의 힘은 강해지지 않았다.
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"이들이 고려에 왕래함에 따라 고려(Corea)라는 이름이 서방 세계에까지 알려지게
되었다."
6. Chun / Roh Transitional,ta_e42,4th National Curriculum (1981–1987),Elementary,2\.
1. Late Chosŏn / Korean Empire,ta_p101r,Enlightenment & Daehan Empire (1895–1910),,"오직 야별초 지유(夜別抄指諭) 김세충(金世沖)만이 최우를 꾸짖었으나, 최우가 김세충을 참수하고 어진 이들을 무고(誣告)하여 죽여
버렸으며, 내키는 대로 연회를 베풀어서 백성들을 피폐하게 하였다."
5. Yushin,ta_h31,3rd National Curriculum (1973–1981),High School,"15세기에는 중앙 집권 체제가 강화되면서 국력이 크게 신장되었고, 국민의 지위가 향상되었으며, 개성 있고 실용적인 문화가 꽃피었다."
6. Chun / Roh Transitional,ta_h42,4th National Curriculum (1981–1987),High School,"주체적으로 혁신된 원불교가 개간 사업과 저축 운동을
전개한 것도 민족의 역량을 배양하기 위한 한 방법이었다."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"국문의 제정과 문예의 발달
   5\."
2. Colonial,ta_p42r,Japanese Colonial (1910–1945),,"고려 시대에는 도교의
교의(敎義)와 의식(儀式) 등은 불교 속에 혼합되거나 혹은 독립하여 상하(上下) 계층들에 만연하였다."
5. Yushin,ta_e32,3rd National Curriculum (1973–1981),Elementary,"백두산 천지

 〈우리 민족의 자랑〉

어느 민족이든지 오랜 세월을 거치는 동안, 다른 민족과 자주 접촉을 하게 되기 때문에, 자연히 그들의 피가 섞이게 마련이다."
6. Chun / Roh Transitional,ta_e42,4th National Curriculum (1981–1987),Elementary,"이리하여, 신라는 통일을 이룬 듯하였다."
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,그러나 조선 시대에는 해상과 육상이 각각 5구분법으로 나뉘어 봉수를 올리게 되어 있었다.
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"읽기자료

⋅ 시일야방성대곡 ⋅

지난날 이토 후작이 한국에 옴에 어리석은 우리 국민이 서로서로 모여 말하기를 “이토 후작이 평시에 동양 3국의 안정과 안녕을 맡아 주선하던
인물이라, 금일에 한국에 옴에 반드시 우리 나라의 독립을 공고하게 세울 방략을 권고하리라.” 하여 항구로부터 서울에 이르기까지 관민 상하가
크게 환영하였더니, 세상일이 예측하기 어려운 일도 많도다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"옛날의 우리 가정은 할아버지, 할머니를 중심으로 그 자손들이 한 집에 모여 대가족을 이루고 살았다."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"이것이 화랑의 정신이며,
통일기에는 일반 사람들에게까지 이 정신이 전하였고, 불교는 화랑도의 국가사상과 함께 아울러 통일기의 사상을 이루었다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,"이에, 광종은 왕권을 확립하기 위하여 호족 세력을 억눌렀다."
6. Chun / Roh Transitional,ta_m41,4th National Curriculum (1981–1987),Middle School,귀족들은 문벌을 유지하기 위하여 다른 좋은 문벌과 혼인을 하거나 왕실과 혼인을 하여 외척으로 권세를 부리기도 했다.
6. Chun / Roh Transitional,ta_m42,4th National Curriculum (1981–1987),Middle School,3\.
7. Early Democratic,ta_m61,6th National Curriculum (1995–2001),Middle School,"마한에는 54개국이 있었고, 진한과 변한에는 각각 12개국이 있었다."
8. Democratic Consolidation,ta_e71,7th National Curriculum (2002–),Elementary,"그러자 많은 사람들이 덕이 높고 지혜로운
왕건을 새 왕으로 추대하였다."
1. Late Chosŏn / Korean Empire,ta_p91r,Enlightenment & Daehan Empire (1895–1910),Elementary,"고종(高宗) 20년(1883)에 당오전(當五錢)을 주조하고
인천(仁川) 제물포(濟物浦)를 개항하였으며, 기기국(機器局), 전환국(典圜局), 박문국(博文局)을 설치하였다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,태종은 개인이 거느린 사병을 없애어 병권을 왕권하에 집중시켰다.
1. Late Chosŏn / Korean Empire,ta_p13r,Enlightenment & Daehan Empire (1895–1910),Public schools,"기원후 71년

임오(壬午) 7년이다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"실학의 발달

〔학습 개요〕

사회의 폐단이 심각해지고 농민의 몰락이 심해지는 가운데, 민생의 안정을 도모하고 민족 문화를 바로 이해하려는 새로운 학문 활동으로 실학
운동이 일어났다."
1. Late Chosŏn / Korean Empire,ta_p11r,Enlightenment & Daehan Empire (1895–1910),Public schools,"○고구려 왕이 훙(薨)하자, 왕후 우씨(于氏)가 임금의 유명(遺命)을 속여서 왕의 동생 연우(延優)를 옹립하니 곧 산상왕(山上王)이다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"이 밖에 안압지와 임해전 터, 유상곡수의 놀이를 하던 포석정 등이 지금까지 남아 있어, 귀족들의 호화롭던 생활의 일모를 보여 주고 있다."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"그래서, 추운 빙기가 네 번, 그 사이사이에 따뜻한 간빙기가 세 번 있었다."
6. Chun / Roh Transitional,ta_h52,5th National Curriculum (1987–1992),High School,2\.
7. Early Democratic,ta_e61,6th National Curriculum (1995–2001),Elementary,"이 때야말로 온 국민이 똘똘 뭉쳐 힘을 길러야 할
때입니다."
4. Post-war Authoritarian,ta_h11,1st National Curriculum (1954–1963),High School,"조선의 과학과 미술⋅공예

제도 개혁에 따라 실제적인 문화면에도 새로운 제작을 함에 태조 3년(1394)에 중성기(中聖記)에 의하여 천문도(天文圖)를
석각(石刻)하였다."
4. Post-war Authoritarian,ta_h21,2nd National Curriculum (1963–1973),High School,"옥저에서는 가족을 큰 목곽에 공동 매장하는 풍속과
예부제(민며느리제)가 있었다고 한다."
5. Yushin,ta_m31,3rd National Curriculum (1973–1981),Middle School,"고구려의 고분 벽화로는 사신도, 무용도, 수렵도 등이
있다."
6. Chun / Roh Transitional,ta_m52,5th National Curriculum (1987–1992),Middle School,"한문을 중시하는 전통이 그대로 남아 있던 당시에, 독립 신문은 우리 고유의
글을 활용함으로써 한글을 널리 보급하였고, 국민의 문화 수준 향상에 크게 이바지하였다."
4. Post-war Authoritarian,ta_e11,1st National Curriculum (1954–1963),Elementary,"그러나, 국회에서
결정되었다고, 그것이 곧 법률이 되는 것은 아니고, 그 초안을 대통령에게 보내는 거야."
5. Yushin,ta_h32,3rd National Curriculum (1973–1981),High School,"명대의 견직도  

여기서, 산시 상인, 성안 상인 등의 대상인들은 전매품인 소금을 판매하는 조직을 이용하여 농산물과 직조물들을 전국적으로 공급, 판매하였고,
외국 상인들에게도 차, 도자기와 함께 직조물을 수출하여 막대한 양의 멕시코 은이 유입되었다."
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"고려와 이씨 조선이 바뀐 것을 불교와 유교의 교대라고 할 수 있으리 만큼, 이조 시대 불교는 기운을
잃고 말았던 것이다."
8. Democratic Consolidation,ta_m71,7th National Curriculum (2002–),Middle School,"무속 신앙은, 천지 만물에 귀신이 있어서 이들의 조화로 인간의
길흉화복이 정해진다는 믿음 아래 무당이 굿이나 풀이로 귀신을 달래어 화를 멀리하고 복을 비는 신앙이었다."
1. Late Chosŏn / Korean Empire,ta_p71r,Enlightenment & Daehan Empire (1895–1910),Elementary,"그러나 고구려는 그 왕이 현명하여 신이 한마디 말로 깨우칠 수 있었지만, 일본에 이르러서는 마땅히
계략을 세워서 속여야 합니다."
6. Chun / Roh Transitional,ta_h51,5th National Curriculum (1987–1992),High School,"혜허의 양류 관음상  

음악에 있어서는 신라 시대 이래 우리 나라 고유의 음악인 향악이 발달하였으며, 동동, 대동강 등의 곡이 유명하였다."
6. Chun / Roh Transitional,ta_h41,4th National Curriculum (1981–1987),High School,")과 상서성이 있었는데, 상서성 밑에는 이, 병, 호, 형, 예, 공의 6부를
두어 실제 행정을 분담하게 하였다."
1. Late Chosŏn / Korean Empire,ta_p91r,Enlightenment & Daehan Empire (1895–1910),Elementary,"나라 이름을 서라벌(徐羅伐)【후에 신라로 고침】이라 하고 재위 5년에 알영(閼英)을 맞이하여 왕비로 삼으니 왕비가 어진 행실로
내조하였기 때문에 그 당시 사람들이 ‘두 성인[二聖]’이라 칭하였다."
4. Post-war Authoritarian,ta_m21,2nd National Curriculum (1963–1973),Middle School,"쑹화 강(松花江) 유역에 있던 부여와, 만포진 건너에 있던 고구려는 서로의 사회 풍습이 거의 비슷하였으나, 부여는 농업을 주로 하였고,
고구려는 수렵을 더 많이 하므로 성격이 용맹스러워 한(漢) 나라 세력을 차차 몰아내고 큰 나라로 자라났다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,"이 직무를 수행하기 위하여 모든
지방 행정 단위에는 중앙의 6조에 상응하는 6방의 조직이 갖추어져 있었고, 그 사무는 토착의 향리들이 향역으로 세습하면서 담당하였다."
7. Early Democratic,ta_h61,6th National Curriculum (1995–2001),High School,지방에서는 관찰사와 수령이 사법권을 행사하였다.
4. Post-war Authoritarian,ta_m11,1st National Curriculum (1954–1963),Middle School,"당은 이 틈을 타서 이적(李勣)을 시켜 고구려에 침입하게 하고,
신라도 이에 응하여 마침내 평양성을 함락하니, 고구려는 보장왕 27년(서기 668년) 28왕 705년으로 멸망하였다."
